Date,Open,High,Low,Close,Adj Close,Volume
2018-08-20,262.0,271.899994,259.450012,269.549988,269.549988,1787015
2018-08-21,271.049988,274.600006,266.899994,269.049988,269.049988,1457193
2018-08-23,269.700012,269.700012,256.399994,257.399994,257.399994,1408104
2018-08-24,256.350006,258.600006,255.05000299999998,255.600006,255.600006,713958
2018-08-27,257.899994,259.5,256.649994,258.899994,258.899994,630305
2018-08-28,261.0,263.200012,259.299988,260.299988,260.299988,699602
2018-08-29,260.5,263.700012,260.5,261.600006,261.600006,407775
2018-08-30,261.850006,263.0,259.100006,259.649994,259.649994,370471
2018-08-31,259.0,268.200012,258.200012,267.100006,267.100006,834884
2018-09-03,271.700012,273.0,265.450012,266.700012,266.700012,1083047
2018-09-04,270.600006,271.049988,260.649994,262.049988,262.049988,1025120
2018-09-05,260.0,270.649994,255.44999700000002,265.549988,265.549988,1120294
2018-09-06,271.0,272.0,264.049988,269.950012,269.950012,1168857
2018-09-07,270.799988,279.950012,269.200012,277.5,277.5,2165591
2018-09-10,276.299988,282.0,272.0,275.549988,275.549988,2087453
2018-09-11,277.399994,278.850006,266.0,267.200012,267.200012,726352
2018-09-12,269.799988,269.799988,259.0,262.649994,262.649994,1366439
2018-09-14,265.149994,269.299988,263.350006,266.450012,266.450012,707305
2018-09-17,264.700012,264.700012,259.5,260.200012,260.200012,684453
2018-09-18,258.200012,259.649994,250.69999700000002,251.44999700000002,251.44999700000002,1038105
2018-09-19,252.399994,255.149994,251.149994,252.69999700000002,252.69999700000002,631766
2018-09-21,254.75,257.700012,229.05000299999998,250.19999700000002,250.19999700000002,1552086
2018-09-24,251.80000299999998,251.80000299999998,239.350006,240.25,240.25,897977
2018-09-25,240.0,243.399994,235.399994,240.899994,240.899994,1033377
2018-09-26,242.0,244.0,229.80000299999998,233.30000299999998,233.30000299999998,3202783
2018-09-27,235.100006,236.80000299999998,223.5,225.55000299999998,225.55000299999998,1699432
2018-09-28,228.0,230.600006,219.649994,223.44999700000002,223.44999700000002,987322
2018-10-01,224.30000299999998,230.5,220.05000299999998,229.25,229.25,818192
2018-10-03,230.0,232.75,226.0,227.55000299999998,227.55000299999998,732631
2018-10-04,225.0,230.649994,221.600006,223.25,223.25,1034983
2018-10-05,223.25,226.44999700000002,215.0,216.55000299999998,216.55000299999998,1078206
2018-10-08,216.55000299999998,218.94999700000002,208.149994,212.75,212.75,1342852
2018-10-09,205.800003,206.0,170.649994,184.25,184.25,13254155
2018-10-10,186.0,190.800003,185.0,188.75,188.75,5564134
2018-10-11,184.75,187.75,178.100006,182.75,182.75,2259913
2018-10-12,186.0,188.199997,182.75,183.399994,183.399994,1773056
2018-10-15,185.699997,186.350006,182.800003,184.300003,184.300003,1182544
2018-10-16,184.600006,187.199997,184.600006,185.5,185.5,1269499
2018-10-17,188.399994,188.800003,177.949997,179.199997,179.199997,1972906
2018-10-19,179.25,180.0,174.25,174.800003,174.800003,1322998
2018-10-22,176.800003,176.949997,170.0,170.550003,170.550003,1638539
2018-10-23,170.0,175.699997,169.800003,170.649994,170.649994,1582606
2018-10-24,172.550003,175.100006,169.100006,170.550003,170.550003,1729054
2018-10-25,168.300003,169.5,164.550003,165.399994,165.399994,1519716
2018-10-26,166.100006,172.800003,165.800003,168.850006,168.850006,2124217
2018-10-29,169.100006,176.449997,167.949997,175.350006,175.350006,1362233
2018-10-30,177.699997,181.449997,176.0,177.300003,177.300003,1554415
2018-10-31,178.399994,179.699997,173.5,178.649994,178.649994,1554149
2018-11-01,179.199997,186.050003,177.399994,178.75,178.75,3369177
2018-11-02,181.5,191.399994,181.0,190.0,190.0,5190143
2018-11-05,191.399994,191.75,186.699997,189.649994,189.649994,1542612
2018-11-06,192.0,199.300003,191.300003,192.850006,192.850006,2610427
2018-11-07,196.5,196.5,193.600006,195.100006,195.100006,509220
2018-11-09,192.899994,200.75,192.0,195.399994,195.399994,1528586
2018-11-12,194.399994,194.850006,185.25,185.949997,185.949997,1911213
2018-11-13,181.0,182.949997,178.449997,179.800003,179.800003,1749642
2018-11-14,180.100006,183.149994,176.199997,176.800003,176.800003,1547882
2018-11-15,178.0,182.800003,177.100006,179.949997,179.949997,1540327
